Region,Country,Size,Owned by,SME?,# Enterprises,Have Checking,Have Overdraft,Have Loan,Have Access to Credit,Access to finance as major/severe barrier,Does not need credit,Unserved,Underserved,Well served,Loan size - average size per revenue,Average loan duration (months),Loan rejection rate,Private Commercial Bank as Source of Financing,State-owned Bank and/or Govt. Agency as Source of Financing,Non-bank Financial Institution as Source of Financing,Other Source of Financing,Average credit value gap per enterprise,Total credit value gap,Average deposit gap per enterprise,Total deposit gap
,Uganda,,Male,,762484,41%,6%,6%,6%,55%,50%,44%,4%,2%,16%,18.16,20%,72%,1%,22%,5%,666,507756706,205,156156626
,Ukraine,,Male,,360327,65%,23%,16%,27%,39%,39%,34%,21%,6%,16%,,13%,90%,4%,6%,0%,9510,3426779892,5602,2018638642
,United Arab Emirates,,Male,,200297,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,62013,12420921185,4733,948089305
,United Kingdom,,Male,,1820166,,,,,,,,,,,,,,,,,,,,
,United States,,Male,,16658433,,,,,,,,,,,,,,,,,,,,
,Uruguay,,Male,,170348,49%,19%,17%,21%,14%,43%,36%,14%,7%,9%,,,74%,24%,2%,0%,20818,3546335622,3296,561514107
,Uzbekistan,,Male,,625482,53%,7%,9%,11%,29%,46%,43%,8%,3%,19%,,34%,27%,68%,0%,4%,5983,3742125188,2027,1268091958
,Venezuela,,Male,,2070285,58%,18%,17%,20%,15%,45%,35%,12%,7%,9%,,,78%,22%,0%,0%,14249,29500061217,4070,8425918875
,Vietnam,,Male,,4838448,39%,8%,12%,15%,26%,46%,39%,9%,6%,19%,,,38%,54%,0%,8%,2503,12113050261,7028,34003260428
,Yemen,,Male,,1051626,16%,7%,9%,11%,35%,47%,41%,8%,3%,19%,,,69%,11%,20%,0%,791,831415209,122,128528233
,Zambia,,Male,,374108,50%,10%,7%,10%,22%,48%,42%,7%,4%,12%,19.46,26%,72%,9%,15%,4%,4256,1592268085,601,224821981
,Zimbabwe,,Male,,178339,,5%,5%,5%,,51%,43%,4%,2%,,,,,,,,8213,1464691004,618,110229231
Central Asia and Eastern Europe,,,Male,,13360536,58%,24%,23%,31%,23%,40%,30%,20%,10%,13%,42.55,14%,76%,22%,1%,1%,17159,229256310269,11837,158149621431
East Asia,,,Male,,98145393,35%,7%,9%,12%,15%,47%,41%,8%,4%,20%,,80%,40%,53%,6%,1%,3878,380569047565,12991,1274978679615
Latin America,,,Male,,29957282,45%,17%,17%,20%,30%,43%,37%,15%,6%,12%,18.09,11%,66%,11%,18%,4%,12491,374193264050,3135,93922403530
MENA,,,Male,,15811603,41%,8%,9%,13%,41%,47%,40%,9%,4%,17%,52.71,20%,56%,32%,13%,0%,18098,286160274529,1570,24829084629
South Asia,,,Male,,60687920,43%,7%,8%,13%,20%,49%,40%,7%,4%,20%,38.59,26%,62%,0%,0%,38%,2903,176200148074,4860,294955837917
Sub-Saharan Africa,,,Male,,27373293,43%,7%,7%,8%,45%,43%,49%,6%,2%,19%,22.24,29%,30%,6%,23%,42%,3717,101733949312,792,21676671327
,,,Male,,245336027,41%,9%,11%,14%,24%,46%,41%,9%,4%,18%,33.25,45%,51%,27%,8%,15%,6310,1548112993799,7616,1868512298450
,Afghanistan,,Male,SME,37371,66%,22%,2%,22%,36%,42%,36%,18%,4%,5%,,,47%,47%,1%,4%,8498,317582289,6350,237313315
,Albania,,Male,SME,15588,94%,81%,44%,81%,16%,12%,6%,55%,27%,22%,42.55,6%,100%,0%,0%,0%,26627,415054267,1727,26926583
,Algeria,,Male,SME,175020,84%,39%,31%,45%,48%,27%,28%,40%,5%,15%,36.06,36%,33%,67%,0%,0%,51100,8943528766,3901,682816733
,Angola,,Male,SME,0,,,,,,,,,,,,,,,,,,4526112122,,189955262
,Argentina,,Male,SME,117574,98%,75%,51%,78%,42%,5%,17%,68%,10%,8%,,,73%,23%,1%,2%,313104,36812784352,3534,415488336
,Armenia,,Male,SME,33583,91%,46%,46%,65%,31%,20%,15%,50%,15%,18%,,7%,83%,10%,5%,2%,31371,1053510999,4648,156102236
,Australia,,Male,SME,315164,,,,,,,,,,,,,,,,,0,0,0,0
,Austria,,Male,SME,71471,,,,,,,,,,,,,,,,,0,0,0,0
,Azerbaijan,,Male,SME,44175,71%,14%,19%,25%,32%,36%,38%,20%,5%,16%,,42%,94%,2%,4%,0%,21138,933801182,7443,328810310
,Bahamas,,Male,SME,1114,,,,,,,,,,,,,,,,,192711,214603286,25202,28064751
,Bahrain,,Male,SME,5387,,,,,,,,,,,,,,,,,334009,1799254305,11656,62786794
,Bangladesh,,Male,SME,741644,91%,,,,31%,,,,,,,,,,,,2259,1675098887,1909,1416021640
,Barbados,,Male,SME,1114,,,,,,,,,,,,,,,,,108032,120304474,14128,15732821
,Belarus,,Male,SME,35028,89%,34%,51%,67%,39%,17%,16%,58%,8%,12%,,13%,56%,43%,0%,0%,51325,1797825064,8758,306791678
,Belgium,,Male,SME,95586,,,,,,,,,,,,,,,,,0,0,0,0
,Belize,,Male,SME,10417,,,,,,,,,,,,,,,,,59409,618865608,6119,63744498
,Benin,,Male,SME,6342,,,,,,,,,,,,,,,,,143041,907200138,6003,38074055
,Bhutan,,Male,SME,715,86%,42%,45%,60%,28%,9%,31%,49%,10%,26%,,,,,,,12489,8933160,2812,2011276
,Bahamas,,Female,SME,699,,,,,,,,,,,,,,,,,179819,125621498,23291,16271333
,Bolivia,,Male,SME,38246,91%,41%,28%,56%,31%,17%,26%,42%,14%,18%,,,88%,0%,12%,0%,21552,824294263,1538,58841624
,Bosnia and Herzegovina,,Male,SME,23335,,,,,,,,,,,,,,,,,64335,1501271926,12455,290644506
,Botswana,,Male,SME,0,,,,,,,,,,,,,,,,,,393921812,,21521349
,Brazil,,Male,SME,266693,96%,77%,62%,85%,51%,7%,8%,73%,12%,9%,,17%,64%,30%,3%,3%,143383,38239170717,3298,879461225
,Brunei Darussalam,,Male,SME,12420,,,,,,,,,,,,,,,,,359869,4469470326,280534,3484156270
,Bulgaria,,Male,SME,46177,97%,25%,37%,48%,20%,31%,20%,36%,13%,18%,,22%,83%,16%,1%,0%,35013,1616789356,1276,58931620
,Burkina Faso,,Male,SME,0,,,,,,,,,,,,,,,,,,2171373448,,84937056
,Burma (Myanmar),,Male,SME,136077,,,,,,,,,,,,,,,,,11536,1569747798,18484,2515246780
,Burundi,,Male,SME,25741,91%,33%,46%,47%,47%,16%,37%,32%,15%,14%,42.5,29%,88%,2%,1%,9%,11622,299169176,397,10229304
,Cambodia,,Male,SME,14033,,,,,,,,,,,,,,,,,19591,274933681,16451,230866504
,Cameroon,,Male,SME,0,,,,,,,,,,,,,,,,,,23130203,,1669202
,Canada,,Male,SME,335518,,,,,,,,,,,,,,,,,0,0,0,0
,Cape Verde,,Male,SME,0,,,,,,,,,,,,,,,,,,65930643,,2555220
,Central African Republic,,Male,SME,16338,,,,,,,,,,,,,,,,,25736,420464874,1080,17646385
,Chad,,Male,SME,0,,,,,,,,,,,,,,,,,,1174623391,,49297474
,Chile,,Male,SME,153836,95%,81%,73%,88%,22%,5%,7%,64%,24%,13%,,,95%,5%,0%,0%,125498,19306069984,3694,568305058
,China,,Male,SME,0,,,,,,,,,,,,,,,,,,37708577852,,59534597822
,Colombia,,Male,SME,119526,98%,74%,56%,79%,43%,8%,13%,66%,13%,9%,,,95%,2%,3%,0%,40960,4895804405,424,50619737
,Comoros,,Male,SME,2280,,,,,,,,,,,,,,,,,29893,68146607,1255,2860028
,"Congo, Dem. Rep.",,Male,SME,0,,,,,,,,,,,,,,,,,,5337075524,,223990382
,"Congo, Rep.",,Male,SME,0,,,,,,,,,,,,,,,,,,1363448044,,48448617
,Costa Rica,,Male,SME,12660,94%,34%,54%,67%,40%,17%,16%,57%,10%,16%,,,30%,60%,8%,2%,171958,2176976281,4290,54313278
,Cote d'Ivoire,,Male,SME,0,,,,,,,,,,,,,,,,,,2593448920,,108843806
,Croatia,,Male,SME,14892,100%,69%,59%,89%,20%,6%,5%,55%,34%,9%,,19%,81%,11%,7%,0%,87211,1298718792,0,0
,Cuba,,Male,SME,41575,,,,,,,,,,,,,,,,,101494,4219582438,13273,551816008
,Czech Republic,,Male,SME,122292,95%,53%,35%,60%,33%,34%,6%,54%,6%,10%,,14%,68%,30%,1%,1%,85324,10434408110,9343,1142600953
,Democratic People's Republic of Korea,,Male,SME,420473,,,,,,,,,,,,,,,,,13600,5718345058,30257,12722168804
,Denmark,,Male,SME,53334,,,,,,,,,,,,,,,,,0,0,0,0
,Djibouti,,Male,SME,4338,,,,,,,,,,,,,,,,,31909,138433643,1158,5024262
,Dominican Republic,,Male,SME,6588,,,,,,,,,,,,,,,,,96468,635499589,10536,69410199
,Ecuador,,Male,SME,114099,97%,88%,27%,88%,20%,8%,3%,55%,33%,8%,,,86%,0%,14%,0%,62777,7162777888,1141,130235571
,Egypt,,Male,SME,364810,55%,3%,7%,9%,42%,39%,52%,7%,3%,,49.31,100%,,,,,3595,1311426663,3355,1224023441
,El Salvador,,Male,SME,19047,80%,32%,42%,57%,42%,16%,27%,53%,4%,24%,,,70%,2%,27%,0%,35784,681598472,3374,64270373
,Equatorial Guinea,,Male,SME,2280,,,,,,,,,,,,,,,,,274623,626051039,11526,26274579
,Eritrea,,Male,SME,0,,,,,,,,,,,,,,,,,,246316130,,11172044
,Estonia,,Male,SME,7821,100%,38%,59%,65%,11%,20%,15%,27%,38%,13%,,15%,97%,3%,0%,0%,65871,515165181,5828,45580298
,Ethiopia,,Male,SME,121887,97%,31%,44%,50%,40%,30%,20%,38%,11%,,21.98,22%,59%,33%,0%,8%,12687,1546347844,237,28905407
,Fiji,,Male,SME,2121,98%,37%,18%,37%,5%,53%,9%,23%,14%,18%,,,100%,0%,0%,0%,17937,38046123,11153,23655859
,Finland,,Male,SME,47636,,,,,,,,,,,,,,,,,0,0,0,0
,France,,Male,SME,570865,,,,,,,,,,,,,,,,,0,0,0,0
,Gabon,,Male,SME,0,,,,,,,,,,,,,,,,,,1327483921,,49715876
,Gambia,,Male,SME,6474,73%,36%,19%,37%,38%,24%,39%,23%,14%,16%,7.88,19%,94%,6%,0%,0%,8559,55413897,507,3285486
,Georgia,,Male,SME,7125,89%,28%,40%,51%,38%,27%,22%,36%,15%,16%,,18%,95%,5%,0%,0%,43979,313349776,8876,63239637
,Germany,,Male,SME,488293,,,,,,,,,,,,,,,,,0,0,0,0
,Ghana,,Male,SME,55067,91%,19%,23%,28%,61%,13%,59%,26%,3%,14%,16.53,29%,63%,22%,15%,0%,26485,1458478058,958,52737678
,Greece,,Male,SME,108417,,,,,,,,,,,,,,,,,109381,11858757454,21898,2374088583
,Grenada,,Male,SME,371,,,,,,,,,,,,,,,,,65742,24403381,8597,3191353
,Guatemala,,Male,SME,38672,55%,41%,33%,57%,20%,21%,23%,44%,13%,17%,,,80%,4%,15%,1%,81370,3146719419,33802,1307167021
,Guinea,,Male,SME,36291,58%,14%,9%,16%,58%,8%,76%,14%,1%,20%,10.74,38%,44%,0%,56%,0%,15290,554883100,818,29684776
,Guinea-Bissau,,Male,SME,6151,71%,4%,8%,10%,81%,4%,86%,8%,2%,13%,30,100%,75%,0%,25%,0%,9065,55758382,573,3523817
,Guyana,,Male,SME,2979,,,,,,,,,,,,,,,,,27359,81492147,3581,10665817
,Haiti,,Male,SME,36007,,,,,,,,,,,,,,,,,20556,740155510,2688,96793857
,Honduras,,Male,SME,47252,80%,48%,45%,60%,27%,19%,21%,47%,13%,22%,,,92%,0%,4%,3%,86141,4070362859,16719,789988421
,Hong Kong,,Male,SME,42031,,,,,,,,,,,,,,,,,141315,5939606511,271783,11423302742
,Hungary,,Male,SME,66020,100%,45%,43%,53%,11%,46%,2%,40%,13%,8%,,37%,87%,12%,1%,0%,62350,4116352473,1283,84698504
,Iceland,,Male,SME,5804,,,,,,,,,,,,,,,,,0,0,0,0
,India,,Male,SME,359708,90%,32%,24%,32%,15%,54%,15%,16%,16%,15%,45.65,8%,,,,,7667,2758044395,3959,1424039563
,Indonesia,,Male,SME,3271898,54%,4%,20%,20%,14%,21%,59%,13%,7%,18%,,,42%,51%,7%,0%,1853,6064294343,1066,3489286702
,Iran,,Male,SME,300999,,,,,,,,,,,,,,,,,18868,5679172637,16138,4857514203
,Iraq,,Male,SME,159979,,,,,,,,,,,,,,,,,25344,4054560395,920,147154791
,Ireland,,Male,SME,27049,,,,,,,,,,,,,,,,,0,0,0,0
,Italy,,Male,SME,839701,,,,,,,,,,,,,,,,,0,0,0,0
,Jamaica,,Male,SME,21596,,,,,,,,,,,,,,,,,32925,711055299,5301,114485090
,Japan,,Male,SME,2211195,,,,,,,,,,,,,,,,,0,0,0,0
,Jordan,,Male,SME,31320,93%,18%,14%,24%,36%,68%,8%,14%,10%,25%,31.05,3%,99%,1%,0%,0%,10036,314332840,327,10254930
,Kazakhstan,,Male,SME,50042,87%,17%,26%,33%,26%,30%,37%,23%,10%,23%,,31%,97%,3%,0%,0%,78616,3934090900,10933,547134955
,Kenya,,Male,SME,81229,86%,21%,25%,34%,51%,23%,43%,28%,6%,16%,,,,,,,13728,1115121142,1178,95696081
,Kuwait,,Male,SME,12251,,,,,,,,,,,,,,,,,672607,8239992291,23801,291585441
,Kyrgyz Republic,,Male,SME,4266,81%,34%,19%,44%,19%,23%,33%,27%,17%,22%,,35%,66%,22%,12%,0%,19086,81421379,6182,26371714
,Laos,,Male,SME,14314,92%,5%,19%,22%,26%,47%,31%,21%,2%,28%,,0%,27%,66%,0%,6%,8544,122304779,4609,65968750
,Latvia,,Male,SME,12500,98%,24%,60%,64%,31%,24%,11%,49%,15%,18%,,22%,76%,23%,2%,0%,106382,1329820069,1580,19752459
,Lebanon,,Male,SME,1638,83%,44%,42%,71%,45%,18%,11%,57%,14%,,59.74,5%,,,,,31646,51846585,1326,2172536
,Lesotho,,Male,SME,0,,,,,,,,,,,,,,,,,,254342804,,10172064
,Liberia,,Male,SME,2718,,,,,,,,,,,,,,,,,116695,317188799,4898,13312017
,Libyan Arab Jamahiriya,,Male,SME,33623,,,,,,,,,,,,,,,,,136600,4592854849,4958,166691461
,Lithuania,,Male,SME,22830,94%,15%,45%,46%,27%,37%,17%,35%,11%,11%,,16%,89%,11%,0%,0%,68814,1571049546,6519,148835491
,Luxembourg,,Male,SME,6155,,,,,,,,,,,,,,,,,0,0,0,0
,Macedonia (the former Yugoslav Republic of),,Male,SME,7638,93%,25%,54%,65%,38%,21%,14%,52%,12%,17%,,19%,93%,6%,0%,1%,42797,326869638,4223,32256385
,Madagascar,,Male,SME,0,,,,,,,,,,,,,,,,,,1472335570,,66678992
,Malawi,,Male,SME,38447,,,,,,,,,,,,,,,,,14072,541015829,729,28043625
,Malaysia,,Male,SME,9255,100%,55%,27%,61%,9%,37%,2%,14%,47%,,,65%,,,,,752354,6963092796,0,0
,Maldives,,Male,SME,399,,,,,,,,,,,,,,,,,17816,7100068,14484,5772352
,Mali,,Male,SME,0,,,,,,,,,,,,,,,,,,802196705,,34795455
,Mauritania,,Male,SME,12700,83%,21%,15%,25%,50%,12%,63%,19%,6%,15%,22.92,59%,78%,9%,13%,0%,58666,745036900,2161,27447693
,Mauritius,,Male,SME,0,,,,,,,,,,,,,,,,,,304543296,,14102504
,Mexico,,Male,SME,526720,43%,11%,8%,15%,20%,58%,27%,11%,4%,19%,18.09,20%,91%,8%,1%,0%,19950,10507945863,4149,2185535507
,Micronesia,,Male,SME,85,100%,4%,58%,58%,50%,0%,42%,50%,9%,51%,,,36%,55%,0%,9%,22502,1921228,4182,357058
,Moldova,,Male,SME,7242,90%,30%,51%,55%,44%,25%,20%,44%,10%,22%,,18%,86%,11%,3%,0%,35094,254156413,6341,45920252
,Italy,Informal,,,1803533,,,,,,,,,,,,,,,,,,,,
,Mongolia,,Male,SME,4852,66%,22%,51%,65%,32%,12%,23%,52%,13%,22%,,16%,75%,6%,6%,13%,9293,45091934,22987,111537844
,Montenegro,,Male,SME,4752,83%,26%,55%,63%,8%,11%,26%,34%,29%,17%,,13%,81%,5%,7%,7%,116370,553001379,29179,138662658
,Morocco,,Male,SME,118886,89%,70%,31%,75%,33%,20%,5%,58%,17%,15%,50.73,2%,70%,0%,30%,0%,9025,1073008394,5362,637423780
,Mozambique,,Male,SME,3291,75%,11%,11%,18%,52%,16%,67%,12%,6%,15%,17.19,41%,81%,5%,15%,0%,10000,32907884,817,2689067
,Namibia,,Male,SME,7256,98%,57%,28%,62%,15%,29%,9%,32%,30%,14%,57.26,21%,95%,2%,0%,2%,41265,299431189,305,2212036
,Nepal,,Male,SME,9923,81%,26%,46%,53%,4%,36%,11%,42%,11%,25%,,,70%,5%,24%,0%,5632,55891902,2282,22640105
,Netherlands,,Male,SME,129998,,,,,,,,,,,,,,,,,0,0,0,0
,New Zealand,,Male,SME,41780,,,,,,,,,,,,,,,,,0,0,0,0
,Nicaragua,,Male,SME,12723,85%,27%,40%,52%,22%,32%,16%,35%,17%,15%,,,86%,3%,11%,0%,51267,652269090,2330,29639710
,Niger,,Male,SME,0,,,,,,,,,,,,,,,,,,4659107076,,188937910
,Nigeria,,Male,SME,1232185,,11%,6%,14%,,26%,60%,10%,4%,19%,,,,,,,16558,20402882524,687,846487064
,Norway,,Male,SME,57512,,,,,,,,,,,,,,,,,0,0,0,0
,Oman,,Male,SME,2757,,,,,,,,,,,,,,,,,184480,508658222,6768,18660692
,Pakistan,,Male,SME,723659,54%,6%,2%,7%,18%,51%,41%,5%,2%,19%,17.96,1%,100%,0%,0%,0%,3779,2734467265,1781,1288506561
,Palestine,,Male,SME,21692,,,,,,,,,,,,,,,,,33922,735830297,1231,26705966
,Panama,,Male,SME,9078,75%,45%,11%,49%,1%,33%,19%,28%,21%,16%,,,98%,0%,0%,2%,32355,293708723,11137,101098605
,Papua New Guinea,,Male,SME,19304,,,,,,,,,,,,,,,,,13907,268453415,22040,425458423
,Paraguay,,Male,SME,45671,80%,59%,49%,66%,29%,13%,21%,43%,23%,12%,,,82%,0%,18%,0%,21978,1003770166,2858,130523692
,Peru,,Male,SME,80287,85%,39%,59%,69%,12%,14%,17%,48%,21%,14%,,,84%,5%,12%,0%,31651,2541145692,2054,164944468
,Philippines,,Male,SME,69758,96%,20%,19%,33%,11%,49%,18%,16%,17%,23%,,,89%,1%,9%,0%,12795,892525337,1340,93497932
,Poland,,Male,SME,175798,99%,47%,50%,61%,25%,29%,10%,49%,13%,8%,,15%,63%,33%,0%,4%,76376,13426743488,5280,928201031
,Portugal,,Male,SME,186377,,,,,,,,,,,,,,,,,0,0,0,0
,Qatar,,Male,SME,4327,,,,,,,,,,,,,,,,,1079823,4671986066,37965,164258248
,Republic of Korea,,Male,SME,144777,,,,,,,,,,,,,,,,,116570,16876702271,184747,26747043415
,Romania,,Male,SME,78325,52%,38%,38%,45%,39%,36%,19%,36%,9%,24%,,12%,90%,7%,2%,1%,35945,2815405577,40625,3181974009
,Russia,,Male,SME,278067,95%,30%,25%,41%,44%,31%,28%,33%,8%,10%,,24%,70%,25%,4%,1%,60926,16941432101,13292,3696133720
,Rwanda,,Male,SME,21115,81%,37%,48%,52%,30%,22%,26%,30%,22%,25%,43.49,7%,92%,4%,4%,0%,6749,142497734,949,20041563
,Saint Lucia,,Male,SME,742,,,,,,,,,,,,,,,,,66731,49541098,8727,6478738
,Saint Vincent and the Grenadines,,Male,SME,371,,,,,,,,,,,,,,,,,55599,20638238,7271,2698966
,Samoa,,Male,SME,71,88%,53%,30%,64%,16%,23%,14%,52%,12%,17%,,,100%,0%,0%,0%,138772,9894071,64902,4627342
,Sao Tome and Principe,,Male,SME,760,,,,,,,,,,,,,,,,,32517,24709673,1365,1037034
,Saudi Arabia,,Male,SME,508352,,,,,,,,,,,,,,,,,365417,185760558779,1180,599811057
,Senegal,,Male,SME,42585,87%,19%,13%,23%,43%,21%,56%,18%,5%,12%,26.93,50%,60%,0%,38%,1%,26887,1144975442,554,23607555
,Serbia,,Male,SME,17105,100%,60%,61%,78%,25%,12%,10%,54%,24%,11%,,14%,82%,15%,1%,2%,88046,1506051280,1271,21746226
,Sierra Leone,,Male,SME,4077,,,,,,,,,,,,,,,,,51670,210667963,1938,7900831
,Singapore,,Male,SME,24310,,,,,,,,,,,,,,,,,169059,4109756139,316742,7699885801
,Slovakia,,Male,SME,15554,15%,54%,41%,70%,13%,21%,10%,54%,16%,17%,,34%,75%,14%,6%,5%,87216,1356549060,160438,2495445478
,Slovenia,,Male,SME,14084,100%,65%,61%,81%,14%,16%,3%,57%,24%,13%,,7%,42%,52%,5%,1%,151477,2133334986,0,0
,Solomon Islands,,Male,SME,1508,,,,,,,,,,,,,,,,,12795,19296400,20279,30581902
,Iceland,Informal,,,5732,,,,,,,,,,,,,,,,,,,,
,South Africa,,Male,SME,78012,97%,52%,25%,57%,14%,24%,19%,18%,39%,14%,32.18,21%,91%,1%,9%,0%,34296,2675464635,2214,172697634
,Spain,,Male,SME,608755,,,,,,,,,,,,,,,,,0,0,0,0
,Sri Lanka,,Male,SME,4732,,,,,,,,,,,,,,,,,17216,81459445,9134,43217771
,Sudan,,Male,SME,128517,,,,,,,,,,,,,,,,,55487,7131085295,1917,246394022
,Suriname,,Male,SME,1856,,,,,,,,,,,,,,,,,58296,108198028,7624,14149600
,Swaziland,,Male,SME,4155,99%,30%,27%,39%,34%,43%,18%,28%,12%,15%,38.53,13%,77%,16%,6%,1%,27672,114979045,111,463271
,Sweden,,Male,SME,80790,,,,,,,,,,,,,,,,,0,0,0,0
,Switzerland,,Male,SME,78554,,,,,,,,,,,,,,,,,0,0,0,0
,Syria,,Male,SME,111172,,,,,,,,,,,,,,,,,43035,4784264663,1562,173638421
,Tajikistan,,Male,SME,26299,80%,14%,28%,36%,24%,31%,34%,27%,8%,21%,,13%,40%,51%,8%,1%,3981,104685999,1131,29732088
,Tanzania,,Male,SME,179718,77%,7%,9%,13%,46%,16%,71%,9%,4%,27%,15.04,46%,60%,30%,9%,0%,4633,832601374,397,71422913
,Thailand,,Male,SME,315118,,,,,,,,,,,,,,,,,21488,6771200546,47652,15015985667
,Timor-Leste,,Male,SME,948,84%,14%,6%,17%,13%,46%,37%,6%,11%,46%,,,58%,25%,17%,0%,7497,7104697,7826,7416050
,Togo,,Male,SME,0,,,,,,,,,,,,,,,,,,611676394,,25671293
,Tonga,,Male,SME,174,100%,45%,56%,70%,10%,13%,17%,67%,2%,29%,,,85%,0%,15%,0%,16138,2812769,1463,255003
,Trinidad and Tobago,,Male,SME,3550,,,,,,,,,,,,,,,,,251109,891549121,28869,102496706
,Tunisia,,Male,SME,4419,,,,,,,,,,,,,,,,,100326,443365083,3451,15251720
,Turkey,,Male,SME,340490,87%,52%,47%,72%,17%,16%,12%,35%,37%,16%,,22%,67%,28%,5%,0%,48206,16413508635,16202,5516532176
,Turkmenistan,,Male,SME,18135,,,,,,,,,,,,,,,,,26942,488608226,4951,89785960
,Uganda,,Male,SME,14820,84%,9%,13%,18%,55%,22%,60%,15%,3%,16%,18.16,20%,72%,1%,22%,5%,5079,75266407,273,4049556
,Ukraine,,Male,SME,78496,94%,47%,26%,52%,39%,25%,23%,41%,11%,16%,,13%,90%,4%,6%,0%,32851,2578689773,6379,500753429
,United Arab Emirates,,Male,SME,25987,,,,,,,,,,,,,,,,,322284,8375076921,14722,382585277
,United Kingdom,,Male,SME,411882,,,,,,,,,,,,,,,,,0,0,0,0
,United States,,Male,SME,1760899,,,,,,,,,,,,,,,,,0,0,0,0
,Uruguay,,Male,SME,20792,88%,58%,44%,67%,14%,20%,13%,43%,23%,9%,,,74%,24%,2%,0%,117280,2438451279,7661,159283576
,Uzbekistan,,Male,SME,74424,94%,3%,11%,12%,29%,34%,53%,9%,3%,19%,,34%,27%,68%,0%,4%,32128,2391059440,1565,116476698
,Venezuela,,Male,SME,116543,98%,33%,33%,45%,11%,42%,13%,33%,12%,13%,,,86%,14%,0%,0%,55468,6464326802,1661,193598614
,Vietnam,,Male,SME,348179,72%,13%,48%,55%,26%,22%,22%,23%,32%,19%,,,38%,54%,0%,8%,6159,2144267978,15180,5285412519
,Yemen,,Male,SME,67972,35%,7%,7%,13%,35%,39%,47%,9%,4%,19%,,,69%,11%,20%,0%,2999,203879819,332,22566910
,Zambia,,Male,SME,35196,95%,39%,15%,43%,22%,26%,31%,26%,17%,12%,19.46,26%,72%,9%,15%,4%,23765,836442134,601,21155351
,Zimbabwe,,Male,SME,47113,,,,,,,,,,,,,,,,,24008,1131099106,1008,47470814
MENA,,Small,Female,,158246,74%,31%,24%,38%,42%,30%,32%,30%,8%,18%,28.4,63%,42%,57%,0%,1%,67734,10718626087,2907,459959594
Central Asia and Eastern Europe,,,Male,SME,1765576,90%,40%,38%,54%,28%,27%,19%,38%,16%,14%,42.55,21%,72%,25%,3%,1%,58939,104061482468,12695,22414129638
East Asia,,,Male,SME,7134702,57%,5%,22%,23%,15%,22%,55%,14%,9%,18%,,24%,43%,50%,6%,1%,14018,100017446051,20871,148911309190
Latin America,,,Male,SME,2093883,78%,49%,38%,57%,28%,27%,17%,44%,13%,14%,18.09,19%,84%,11%,4%,1%,71472,149654064475,3994,8363043216
MENA,,,Male,SME,1832178,76%,38%,24%,44%,41%,31%,25%,36%,8%,17%,41.74,27%,56%,32%,13%,0%,133302,244232167085,2685,4919665010
South Asia,,,Male,SME,2183379,67%,15%,9%,16%,18%,52%,32%,9%,7%,17%,27.15,3%,97%,3%,0%,0%,6100,13317750048,4258,9297036786
Sub-Saharan Africa,,,Male,SME,2976502,87%,16%,12%,21%,42%,24%,55%,14%,7%,19%,22.17,33%,67%,18%,12%,2%,21489,63961266898,918,2731420124
,,,Male,SME,17986221,71%,20%,23%,31%,25%,28%,41%,22%,10%,17%,29.01,22%,62%,30%,7%,1%,37542,675244177025,10933,196636603965
Central Asia and Eastern Europe,,Informal,Female,,3253250,42%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,7496,24387116634,10860,35330914516
Central Asia and Eastern Europe,,Micro,Female,,2290620,78%,24%,20%,34%,30%,36%,29%,31%,3%,12%,,12%,31%,36%,0%,32%,16715,38287786050,8237,18867150083
Central Asia and Eastern Europe,,Very Small,Female,,845905,91%,44%,35%,54%,23%,27%,19%,39%,15%,20%,28,18%,74%,25%,1%,0%,32472,27468350193,6720,5684638824
Central Asia and Eastern Europe,,Small,Female,,387213,90%,35%,34%,48%,33%,25%,27%,34%,14%,13%,18.55,18%,63%,30%,6%,1%,48895,18932834148,13016,5040095864
Central Asia and Eastern Europe,,Medium,Female,,58109,93%,53%,58%,69%,26%,18%,12%,48%,21%,11%,32.33,12%,76%,22%,2%,0%,337263,19598131037,68428,3976326631
East Asia,,Informal,Female,,76702910,27%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2838,217712922691,15221,1167474244341
East Asia,,Micro,Female,,7094023,,,,,,,,,,,,,,,,,5737,40700857813,,
East Asia,,Very Small,Female,,4267579,44%,6%,13%,15%,18%,26%,59%,9%,6%,20%,,30%,30%,37%,29%,4%,8838,37718592652,19602,83651626525
East Asia,,Small,Female,,997185,87%,16%,35%,41%,15%,30%,29%,27%,14%,17%,,3%,58%,39%,3%,0%,25023,24952774025,24809,24739135314
East Asia,,Medium,Female,,26948,94%,28%,49%,55%,10%,22%,22%,35%,20%,20%,,7%,68%,29%,2%,0%,179390,4834192769,72047,1941531284
Latin America,,Informal,Female,,15017701,35%,15%,15%,15%,30%,47%,39%,10%,5%,,,,35%,0%,52%,14%,5749,86336016253,3456,51893690955
Latin America,,Micro,Female,,6283143,98%,70%,60%,76%,49%,7%,17%,57%,18%,16%,,17%,76%,21%,3%,0%,11724,73666087086,274,1720284579
Latin America,,Very Small,Female,,824366,83%,56%,42%,65%,32%,19%,16%,48%,16%,11%,25.5,20%,72%,18%,10%,1%,25308,20863171149,1643,1354128713
